artist,title,link
Abba,I have a dream,
Abba,Medley,
Adele,Make you feel my love,
Adele,Someone like you,
Aerosmith,I don't wanna miss a thing,
Avalon,Orphans of god,
Avalon,Testify to love,
Backstreet Boys,Savest place to hide,
Bette Middler,The rose,
Brandy Carlile,The Story,
Brian Adams,Everything I do,
Celine Dion,Because you loved me,
Celine Dion,Oh holy night,
Cindy Lauper,True Colors,
Craig Musseau,Pour out my heart,
Darlene Zschesch,Mein Jesus mein Retter,
Elton John,Candle in the wind,
Elton John,Can you feel the love tonight,
Elton John,Circle of life,
Eric Clapton,Wonderful tonight,
Francesca Battistelli,Beautiful,
Francesca Battistelli,Forever love,
Francine Jordi,S feur vo dr Sehnsucht,
Gary Barlow,Forever love,
Hillsong,Lord of lords,https://youtu.be/nK3DwMhQfes
Hillsong,The desert Song,
Jason Mraz,I won’t give up,
Jennifer Rush,The power of love,
Jeremy Camp,You‘re worthy of my praise,
John Bon Jovi,Thank you for loving me,https://youtu.be/fWpU28nvQ7o
John Legend,All of me,
Jorden Hill,Remember me this way,
Kari Jobe,Revelation Song,
Kate Voegele,Hallelujah,
Kelly Clarkson,Anytime,
Kenny Rogers & Dolly Parton,Islands in the stream,
Kings of Leon,Use Somebody,
Lionel Richie,Endless love,
Louis Armstrong,What a wonderful world,
Marc Sway,Din Engel,
Mash,Ewigi Liäbi,
Matt Redman,Blessed be your name,
Mando Diao,Dance with somebody,
Mandy Moore,Only hope,
Michael Schlierf,Herr das Licht deiner Liebe,
Mylie Cyrus,When I look at you,
M. Carey/W. Houston,When you believe,
M. Sway/F. Louves,Hemmigslos liebä,
Natalie Grant,Your grate name,
NSYNC,This I promise you,
Pink,Bridge of light,
R.E.M.,Everybody hurts,
Robbie Williams,Angels,https://youtu.be/kmSNNM15eBk
Roxette,Salvation,
Sandee,I wünsche Dir,
Sarah McLachlan,Angel,https://youtu.be/JfqVGsMBylE
Shania Twain,You're still the one,
Sina feat. Büne Huber,Ich schwöru,https://youtu.be/-XGP2o95e7E
Sister Act,I will follow him,
Sister Act,Oh happy day,
Silbermond,Das Beste,
Silbermond,Ja,
Simple Plan,Untitled,
Shania Twain,From this moment,
Seal,Love’s divine,
Tim Hughes,Here I am to worship,
Westlife,You raised me up,
Worship,You're worthy of my praise,
Xavier Naidoo,Und wenn ein Lied,
